[2024-10-02T22:21:48.282+0300] {triggerer_job_runner.py:181} INFO - Setting up TriggererHandlerWrapper with handler <FileTaskHandler (NOTSET)>
[2024-10-02T22:21:48.284+0300] {triggerer_job_runner.py:237} INFO - Setting up logging queue listener with handlers [<RedirectStdHandler <stdout> (NOTSET)>, <NonCachingFileHandler /home/hamsterhom220/MLOps/Assign1/services/airflow/logs/triggerer.log (NOTSET)>, <TriggererHandlerWrapper (NOTSET)>]
[2024-10-02T22:21:48.294+0300] {triggerer_job_runner.py:338} INFO - Starting the triggerer
[2024-10-03T00:15:54.121+0300] {triggerer_job_runner.py:510} INFO - 0 triggers currently running
[2024-10-03T00:16:54.168+0300] {triggerer_job_runner.py:510} INFO - 0 triggers currently running
[2024-10-03T00:17:54.208+0300] {triggerer_job_runner.py:510} INFO - 0 triggers currently running
[2024-10-03T00:18:54.246+0300] {triggerer_job_runner.py:510} INFO - 0 triggers currently running
[2024-10-03T00:19:54.284+0300] {triggerer_job_runner.py:510} INFO - 0 triggers currently running
[2024-10-03T00:20:54.336+0300] {triggerer_job_runner.py:510} INFO - 0 triggers currently running
[2024-10-03T00:21:54.384+0300] {triggerer_job_runner.py:510} INFO - 0 triggers currently running
[2024-10-03T00:22:54.431+0300] {triggerer_job_runner.py:510} INFO - 0 triggers currently running
[2024-10-03T00:23:54.487+0300] {triggerer_job_runner.py:510} INFO - 0 triggers currently running
[2024-10-03T00:24:54.527+0300] {triggerer_job_runner.py:510} INFO - 0 triggers currently running
[2024-10-03T00:25:54.569+0300] {triggerer_job_runner.py:510} INFO - 0 triggers currently running
[2024-10-03T00:26:54.616+0300] {triggerer_job_runner.py:510} INFO - 0 triggers currently running
[2024-10-03T00:27:54.661+0300] {triggerer_job_runner.py:510} INFO - 0 triggers currently running
[2024-10-03T00:28:54.701+0300] {triggerer_job_runner.py:510} INFO - 0 triggers currently running
[2024-10-03T00:29:54.763+0300] {triggerer_job_runner.py:510} INFO - 0 triggers currently running
[2024-10-03T00:30:54.814+0300] {triggerer_job_runner.py:510} INFO - 0 triggers currently running
[2024-10-03T00:31:54.862+0300] {triggerer_job_runner.py:510} INFO - 0 triggers currently running
[2024-10-03T00:32:54.911+0300] {triggerer_job_runner.py:510} INFO - 0 triggers currently running
[2024-10-03T00:33:54.957+0300] {triggerer_job_runner.py:510} INFO - 0 triggers currently running
[2024-10-03T00:34:55.013+0300] {triggerer_job_runner.py:510} INFO - 0 triggers currently running
[2024-10-03T00:35:55.068+0300] {triggerer_job_runner.py:510} INFO - 0 triggers currently running
[2024-10-03T00:36:55.129+0300] {triggerer_job_runner.py:510} INFO - 0 triggers currently running
[2024-10-03T00:37:55.179+0300] {triggerer_job_runner.py:510} INFO - 0 triggers currently running
[2024-10-03T00:38:55.222+0300] {triggerer_job_runner.py:510} INFO - 0 triggers currently running
[2024-10-03T00:39:55.268+0300] {triggerer_job_runner.py:510} INFO - 0 triggers currently running
[2024-10-03T00:40:55.312+0300] {triggerer_job_runner.py:510} INFO - 0 triggers currently running
[2024-10-03T00:41:48.046+0300] {triggerer_job_runner.py:605} INFO - Triggerer's async thread was blocked for 0.23 seconds, likely by a badly-written trigger. Set PYTHONASYNCIODEBUG=1 to get more information on overrunning coroutines.
[2024-10-03T00:41:48.351+0300] {triggerer_job_runner.py:605} INFO - Triggerer's async thread was blocked for 0.20 seconds, likely by a badly-written trigger. Set PYTHONASYNCIODEBUG=1 to get more information on overrunning coroutines.
[2024-10-03T00:41:55.442+0300] {triggerer_job_runner.py:510} INFO - 0 triggers currently running
[2024-10-03T00:42:55.483+0300] {triggerer_job_runner.py:510} INFO - 0 triggers currently running
[2024-10-03T00:43:55.530+0300] {triggerer_job_runner.py:510} INFO - 0 triggers currently running
[2024-10-03T00:44:55.574+0300] {triggerer_job_runner.py:510} INFO - 0 triggers currently running
[2024-10-03T00:45:55.618+0300] {triggerer_job_runner.py:510} INFO - 0 triggers currently running
[2024-10-03T00:46:55.662+0300] {triggerer_job_runner.py:510} INFO - 0 triggers currently running
[2024-10-03T00:47:55.704+0300] {triggerer_job_runner.py:510} INFO - 0 triggers currently running
[2024-10-03T00:48:54.183+0300] {triggerer_job_runner.py:605} INFO - Triggerer's async thread was blocked for 0.55 seconds, likely by a badly-written trigger. Set PYTHONASYNCIODEBUG=1 to get more information on overrunning coroutines.
[2024-10-03T00:48:54.465+0300] {triggerer_job_runner.py:605} INFO - Triggerer's async thread was blocked for 0.28 seconds, likely by a badly-written trigger. Set PYTHONASYNCIODEBUG=1 to get more information on overrunning coroutines.
